time,ultrasonic,sheepCount
1585150568.939620,148,3
1585150569.002015,148,3
1585150569.064430,148,3
1585150569.126944,148,3
1585150569.189350,148,3
1585150569.251746,148,3
1585150569.314153,148,3
1585150569.376560,148,3
1585150569.439009,148,3
1585150569.501434,148,3
1585150569.563866,148,3
1585150569.626287,148,3
1585150569.688691,148,3
1585150569.751143,148,3
1585150569.813558,148,3
1585150569.876043,148,3
1585150569.938470,148,3
1585150570.000887,148,3
1585150570.063334,148,3
1585150570.125752,148,3
1585150570.188257,148,3
1585150570.250649,148,3
1585150570.313073,148,3
1585150570.375597,148,3
1585150570.438131,148,3
1585150570.500563,148,3
1585150570.562991,148,3
1585150570.625419,148,3
1585150570.687841,148,3
1585150570.750247,148,3
1585150570.812699,148,3
1585150570.875111,148,3
1585150570.937528,148,3
1585150570.999942,148,3
1585150571.062530,148,3
1585150571.125157,148,3
1585150571.187818,148,3
1585150571.250377,148,3
1585150571.312981,148,3
1585150571.375581,148,3
1585150571.438356,148,3
1585150571.500925,148,3
1585150571.563542,148,3
1585150571.626198,148,3
1585150571.688749,202,3
1585150571.751369,148,3
1585150571.814005,148,3
1585150571.876644,148,3
1585150571.939271,148,3
1585150572.001901,148,3
1585150572.064577,148,3
1585150572.127120,148,3
1585150572.189534,148,3
1585150572.251940,148,3
1585150572.314353,148,3
1585150572.376867,148,3
1585150572.439288,148,3
1585150572.501711,148,3
1585150572.564132,148,3
1585150572.626564,148,3
1585150572.689008,148,3
1585150572.751420,148,3
1585150572.813833,148,3
1585150572.876238,148,3
1585150572.938653,148,3
1585150573.001101,148,3
1585150573.063515,148,3
1585150573.125921,148,3
1585150573.188425,148,3
1585150573.250838,148,3
1585150573.313261,148,3
1585150573.375678,148,3
1585150573.438211,148,3
1585150573.500704,148,3
1585150573.563155,148,3
1585150573.625584,148,3
1585150573.688082,148,3
1585150573.750538,148,3
1585150573.812967,148,3
1585150573.875394,148,3
1585150573.937863,148,3
1585150574.000291,148,3
1585150574.062711,148,3
1585150574.125144,148,3
1585150574.187652,148,3
1585150574.250229,148,3
1585150574.312813,148,3
1585150574.375412,148,3
1585150574.438093,148,3
1585150574.500695,148,3
1585150574.563324,148,3
1585150574.625930,148,3
1585150574.688619,148,3
1585150574.751284,148,3
1585150574.813932,148,3
1585150574.876569,148,3
1585150574.939186,148,3
1585150575.001855,148,3
1585150575.064492,148,3
1585150575.127146,148,3
1585150575.189756,148,3
